"text","user:screen_name"
"RT @Weinsteinlaw: The fact that Donald Trump has held sixty-six rallies since being elected president but still hasn’t visited our troops i…","HereToReadNews1"
"RT @HotFreestyle: Lil Baby is dropping his new album “Street Gossip” on November 30th 👀🔥 https://t.co/y1mXzXA8oO","ThatGuyJason_18"
"RT @chrissyteigen: hi - I think it's awesome you're going to vote individually on issues in the way you believe. that's awesome. I'm going…","BethLJustice"
"RT @jhirvae: No Negativity November who’s with me?","alondrahern10"
"@BatsSneaky @Sir_TrollingRBX @ChiefDaysRBLX What is bc????","KeanLlena"
"RT @rizickyusuph1: follow everyone who LIKES and RTs this🐶","LKcryptoguy"
"@charliekirk11 Reports? Where? I haven’t heard about this from the state-run media! All I hear is about the blue wa… https://t.co/Jis1nDs7g3","Ronda9220"
"RT @samanthadagher: hating on others isn’t going to make your life suck any less, so maybe put that energy into making yourself happy","complexerose"
"RT @RogerBezanis: To Big Medicine, blood 
is not in you. Nope,$$ is!

BIG MEDICINE NEEDS
THEIR FANGS IN YOU
TO BLEED YOU
FOR THEIR PROFITS!…","RogerBezanis"
"RT @LeenaKumari3012: Tapping hearts for Twice's showcase. 💕 Goal is 57 million. Let's go! 

https://t.co/STHfpupWcd https://t.co/TRSJicbMFg","teasistea"
"RT @MikeLupica: The guy who murdered 11 people at a synagogue, and the guy who sent the mail bombs, and the guy who shot up a yoga studio i…","jxsimmons"
"RT @sassycatsdude: somebody invite me to their oaxacan parties, I'm trynna do the jarabe del valle for an hour","danielle_cosm"
"RT @kristyn__: Hey y'all retweet this and help me find a kidney donor please https://t.co/8Ify6vauBQ","leilaetc"
"RT @Katiethecatt: Watching the last 10 minutes of the walking dead https://t.co/QYTJ7u9f8C","UnknownAndReady"
"now baby i'm the ripper, you know? like it's kinda they need penis spicy","fp200_ebooks"
"RT @NiykeeHeaton: I’m letting Judy know. https://t.co/ZqMqanhr6R","xoxbeexo"
"Just posted a photo https://t.co/YETrJO11mL","masterteacher33"
"RT @aprilshanae: I’m due for some good news, I know I’m up next I’m not even trippin 🤞🏽","keshmalOii"
"can we please stop “this aint it chief” “lets get this bread” “weird flex but okay” PLEASE","morgan_k18"
"RT @charliekirk11: Remember the country Democrats have been creating:

Maxine Waters said get up in their faces

Eric Holder said kick ‘em…","CASuperrunner"
"RT @Koreaboo: BTS Takes ""Biggest Fans"" Award At 2018 EMAs

https://t.co/sNopUihh10","Spring52429151"
